Order ID,Order Date,Customer Name,Region,Category,Sales,Quantity,Profit,Discount
CA-2015-106320,25-09-2015,Emily Burns,West,Furniture,1044.63,3,240.26,0%
CA-2016-121755,16-01-2016,Eric Hoffmann,West,Office Supplies,11.65,2,4.22,20%
CA-2016-121755,16-01-2016,Eric Hoffmann,West,Technology,90.57,3,11.77,0%
US-2015-150630,17-09-2015,Tracy Blumstein,East,Furniture,3083.43,7,-1665.05,50%
US-2015-150630,17-09-2015,Tracy Blumstein,East,Office Supplies,9.62,2,-7.05,70%
US-2015-150630,17-09-2015,Tracy Blumstein,East,Furniture,124.2,3,15.53,20%
US-2015-150630,17-09-2015,Tracy Blumstein,East,Office Supplies,3.26,2,1.1,20%
US-2015-150630,17-09-2015,Tracy Blumstein,East,Office Supplies,86.3,6,9.71,20%
US-2015-150630,17-09-2015,Tracy Blumstein,East,Office Supplies,6.86,6,-5.72,70%
US-2015-150630,17-09-2015,Tracy Blumstein,East,Office Supplies,15.76,2,3.55,20%
CA-2017-107727,19-10-2017,Matt Abelman,Central,Office Supplies,29.47,3,9.95,20%
CA-2016-117590,08-12-2016,Gene Hale,Central,Technology,1097.54,7,123.47,20%
CA-2016-117590,08-12-2016,Gene Hale,Central,Furniture,190.92,5,-147.96,60%
CA-2015-117415,27-12-2015,Steve Nguyen,Central,Office Supplies,113.33,9,35.42,20%
CA-2015-117415,27-12-2015,Steve Nguyen,Central,Furniture,532.4,3,-46.98,32%
CA-2015-117415,27-12-2015,Steve Nguyen,Central,Furniture,212.06,3,-15.15,30%
CA-2015-117415,27-12-2015,Steve Nguyen,Central,Technology,371.17,4,41.76,20%
CA-2017-120999,10-09-2017,Linda Cazamias,Central,Technology,147.17,4,16.56,20%
CA-2016-101343,17-07-2016,Ruben Ausman,West,Office Supplies,77.88,2,3.89,0%
CA-2017-139619,19-09-2017,Erin Smith,South,Office Supplies,95.62,2,9.56,20%
CA-2016-118255,11-03-2016,Odella Nelson,Central,Technology,45.98,2,19.77,0%
CA-2016-118255,11-03-2016,Odella Nelson,Central,Office Supplies,17.46,2,8.21,0%
CA-2014-146703,20-10-2014,Patrick O'Donnell,Central,Office Supplies,211.96,4,8.48,0%
CA-2016-169194,20-06-2016,Lena Hernandez,East,Technology,45,3,4.95,0%
CA-2016-169194,20-06-2016,Lena Hernandez,East,Technology,21.8,2,6.1,0%
CA-2015-115742,18-04-2015,Darren Powers,Central,Office Supplies,38.22,6,17.96,0%
CA-2015-115742,18-04-2015,Darren Powers,Central,Office Supplies,75.18,6,35.33,0%
CA-2015-115742,18-04-2015,Darren Powers,Central,Furniture,6.16,2,2.96,0%
CA-2015-115742,18-04-2015,Darren Powers,Central,Furniture,89.99,1,17.1,0%
CA-2016-105816,11-12-2016,Janet Molinari,East,Office Supplies,15.26,7,6.26,0%
CA-2016-105816,11-12-2016,Janet Molinari,East,Technology,1029.95,5,298.69,0%
CA-2016-111682,17-06-2016,Ted Butterfield,East,Office Supplies,208.56,6,52.14,0%
CA-2016-111682,17-06-2016,Ted Butterfield,East,Office Supplies,32.4,5,15.55,0%
CA-2016-111682,17-06-2016,Ted Butterfield,East,Furniture,319.41,5,7.1,10%
CA-2016-111682,17-06-2016,Ted Butterfield,East,Office Supplies,14.56,2,6.99,0%
CA-2016-111682,17-06-2016,Ted Butterfield,East,Technology,30,2,3.3,0%
CA-2016-111682,17-06-2016,Ted Butterfield,East,Office Supplies,48.48,4,16.36,20%
CA-2016-111682,17-06-2016,Ted Butterfield,East,Office Supplies,1.68,1,0.84,0%
CA-2015-135545,24-11-2015,Kunst Miller,West,Technology,13.98,2,6.15,0%
CA-2015-135545,24-11-2015,Kunst Miller,West,Office Supplies,25.82,6,9.36,20%
CA-2015-135545,24-11-2015,Kunst Miller,West,Office Supplies,146.73,3,68.96,0%
CA-2015-135545,24-11-2015,Kunst Miller,West,Furniture,79.76,4,22.33,0%
US-2015-164175,30-04-2015,Paul Stevenson,Central,Furniture,213.12,5,-15.22,30%
CA-2014-106376,05-12-2014,Brendan Sweed,West,Office Supplies,1113.02,8,111.3,20%
CA-2014-106376,05-12-2014,Brendan Sweed,West,Technology,167.97,4,62.99,20%
CA-2016-119823,04-06-2016,Karen Daniels,South,Office Supplies,75.88,2,35.66,0%
CA-2016-106075,18-09-2016,Henry MacAllister,East,Office Supplies,4.62,1,1.73,20%
CA-2017-114440,14-09-2017,Tracy Blumstein,Central,Office Supplies,19.05,3,8.76,0%
US-2015-134026,26-04-2015,Joel Eaton,South,Furniture,831.94,8,-114.39,20%
US-2015-134026,26-04-2015,Joel Eaton,South,Furniture,97.04,2,1.21,20%
US-2015-134026,26-04-2015,Joel Eaton,South,Office Supplies,72.78,1,-18.2,20%
US-2017-118038,09-12-2017,Ken Brennan,Central,Office Supplies,1.25,3,-1.93,80%
US-2017-118038,09-12-2017,Ken Brennan,Central,Furniture,9.71,3,-5.82,60%
US-2017-118038,09-12-2017,Ken Brennan,Central,Office Supplies,27.24,3,2.72,20%
US-2014-147606,26-11-2014,Joel Eaton,Central,Furniture,19.3,5,-14.48,60%
CA-2016-127208,12-06-2016,Stewart Carmichael,South,Office Supplies,208.16,1,56.2,0%
CA-2016-127208,12-06-2016,Stewart Carmichael,South,Office Supplies,16.74,3,8.04,0%
CA-2014-139451,12-10-2014,Duane Noonan,West,Office Supplies,14.9,5,4.17,0%
CA-2014-139451,12-10-2014,Duane Noonan,West,Office Supplies,21.39,1,6.2,0%
CA-2015-149734,03-09-2015,Julie Creighton,South,Office Supplies,200.98,7,62.81,20%
US-2017-119662,13-11-2017,Christopher Schild,Central,Office Supplies,230.38,3,-48.95,20%
CA-2017-140088,28-05-2017,Patrick O'Donnell,South,Furniture,301.96,2,33.22,0%
CA-2017-155558,26-10-2017,Paul Gonzalez,Central,Technology,19.99,1,6.8,0%
CA-2017-155558,26-10-2017,Paul Gonzalez,Central,Office Supplies,6.16,2,2.96,0%
CA-2016-159695,05-04-2016,Gary Mitchum,Central,Office Supplies,158.37,7,13.86,20%
CA-2016-109806,17-09-2016,Jim Sink,West,Office Supplies,20.1,3,6.63,0%
CA-2016-109806,17-09-2016,Jim Sink,West,Technology,73.58,2,8.28,20%
CA-2016-109806,17-09-2016,Jim Sink,West,Office Supplies,6.48,1,3.11,0%
CA-2015-149587,31-01-2015,Karl Braun,Central,Office Supplies,12.96,2,6.22,0%
CA-2015-149587,31-01-2015,Karl Braun,Central,Furniture,53.34,3,16.54,0%
CA-2015-149587,31-01-2015,Karl Braun,Central,Office Supplies,32.96,2,16.15,0%
US-2017-109484,06-11-2017,Roger Barcio,West,Office Supplies,5.68,1,-3.79,70%
CA-2017-161018,09-11-2017,Parhena Norris,East,Furniture,96.53,7,40.54,0%
CA-2017-157833,17-06-2017,Katherine Ducich,West,Office Supplies,51.31,3,17.96,20%
CA-2016-149223,06-09-2016,Elpida Rittenbach,Central,Office Supplies,77.88,6,22.59,0%
CA-2016-158568,29-08-2016,Rick Bensley,Central,Office Supplies,64.62,7,22.62,20%
CA-2016-158568,29-08-2016,Rick Bensley,Central,Technology,95.98,3,-10.8,20%
CA-2016-158568,29-08-2016,Rick Bensley,Central,Office Supplies,1.79,3,-3.04,80%
CA-2016-129903,01-12-2016,Gary Zandusky,Central,Office Supplies,23.92,4,11.72,0%
US-2015-156867,13-11-2015,Lena Cacioppo,West,Technology,238.9,6,-26.88,20%
US-2015-156867,13-11-2015,Lena Cacioppo,West,Furniture,102.36,3,-3.84,20%
US-2015-156867,13-11-2015,Lena Cacioppo,West,Office Supplies,36.88,3,-25.82,70%
CA-2017-119004,23-11-2017,Janet Martin,South,Technology,74.11,8,17.6,20%
CA-2017-119004,23-11-2017,Janet Martin,South,Technology,27.99,1,2.1,20%
CA-2017-119004,23-11-2017,Janet Martin,South,Office Supplies,3.3,1,1.07,20%
CA-2015-129476,15-10-2015,Pete Armstrong,Central,Technology,339.96,5,67.99,20%
CA-2017-146780,25-12-2017,Cynthia Voltz,East,Furniture,41.96,2,10.91,0%
CA-2016-128867,03-11-2016,Clay Ludtke,Central,Office Supplies,75.96,2,22.79,0%
CA-2016-128867,03-11-2016,Clay Ludtke,Central,Office Supplies,27.24,6,13.35,0%
CA-2014-115259,25-08-2014,Ryan Crowe,East,Office Supplies,40.1,14,14.53,20%
CA-2014-115259,25-08-2014,Ryan Crowe,East,Office Supplies,4.72,2,1.65,20%
CA-2014-115259,25-08-2014,Ryan Crowe,East,Office Supplies,23.98,3,7.49,20%
CA-2014-115259,25-08-2014,Ryan Crowe,East,Office Supplies,130.46,6,44.03,20%
CA-2015-110457,02-03-2015,Dave Kipp,West,Furniture,787.53,3,165.38,0%
US-2015-136476,05-04-2015,Greg Guthrie,South,Office Supplies,157.79,1,-115.72,70%
CA-2016-103730,12-06-2016,Steven Cartwright,East,Furniture,47.04,3,18.35,0%
CA-2016-103730,12-06-2016,Steven Cartwright,East,Office Supplies,30.84,4,13.88,0%
CA-2016-103730,12-06-2016,Steven Cartwright,East,Office Supplies,226.56,6,63.44,0%
CA-2016-103730,12-06-2016,Steven Cartwright,East,Office Supplies,115.02,9,51.76,0%
CA-2016-103730,12-06-2016,Steven Cartwright,East,Technology,68.04,7,19.73,0%
US-2014-152030,26-12-2014,Alan Dominguez,Central,Furniture,600.56,3,-8.58,30%
US-2014-134614,20-09-2014,Philip Fox,Central,Furniture,617.7,6,-407.68,50%
US-2017-107272,05-11-2017,Troy Staebel,West,Office Supplies,2.39,2,-1.83,70%
US-2017-107272,05-11-2017,Troy Staebel,West,Office Supplies,243.99,7,30.5,20%
US-2016-125969,06-11-2016,Lindsay Shagiari,West,Furniture,81.42,2,-9.16,20%
US-2016-125969,06-11-2016,Lindsay Shagiari,West,Furniture,238.56,3,26.24,0%
US-2017-164147,02-02-2017,Dorothy Wardle,East,Technology,59.97,5,-11.99,40%
US-2017-164147,02-02-2017,Dorothy Wardle,East,Office Supplies,78.3,2,29.36,20%
US-2017-164147,02-02-2017,Dorothy Wardle,East,Office Supplies,21.46,9,6.97,20%
CA-2016-145583,13-10-2016,Lena Creighton,West,Office Supplies,20.04,3,9.62,0%
CA-2016-145583,13-10-2016,Lena Creighton,West,Office Supplies,35.44,1,16.66,0%
CA-2016-145583,13-10-2016,Lena Creighton,West,Office Supplies,11.52,4,3.46,0%
CA-2016-145583,13-10-2016,Lena Creighton,West,Office Supplies,4.02,2,1.97,0%
CA-2016-145583,13-10-2016,Lena Creighton,West,Office Supplies,76.18,3,26.66,20%
CA-2016-145583,13-10-2016,Lena Creighton,West,Office Supplies,65.88,6,18.45,0%
CA-2016-145583,13-10-2016,Lena Creighton,West,Furniture,43.12,14,20.7,0%
CA-2016-110366,05-09-2016,Jonathan Doherty,East,Furniture,82.8,2,10.35,20%
CA-2017-106180,18-09-2017,Sally Hughsby,West,Office Supplies,8.82,3,2.38,0%
CA-2017-106180,18-09-2017,Sally Hughsby,West,Office Supplies,10.86,3,5.1,0%
CA-2017-106180,18-09-2017,Sally Hughsby,West,Office Supplies,143.7,3,68.98,0%
CA-2017-155376,22-12-2017,Sandra Glassco,Central,Office Supplies,839.43,3,218.25,0%
CA-2015-110744,07-09-2015,Helen Andreada,West,Office Supplies,671.93,7,20.16,0%
CA-2014-110072,22-10-2014,Maureen Gastineau,East,Furniture,93.89,4,12.91,20%
CA-2016-114489,05-12-2016,Justin Ellison,Central,Technology,384.45,11,103.8,0%
CA-2016-114489,05-12-2016,Justin Ellison,Central,Technology,149.97,3,6,0%
CA-2016-114489,05-12-2016,Justin Ellison,Central,Furniture,1951.84,8,585.55,0%
CA-2016-114489,05-12-2016,Justin Ellison,Central,Office Supplies,171.55,5,80.63,0%
CA-2016-158834,13-03-2016,Tamara Willingham,West,Office Supplies,157.92,5,17.77,20%
CA-2016-158834,13-03-2016,Tamara Willingham,West,Technology,203.18,2,15.24,20%
CA-2015-124919,31-05-2015,Stephanie Phelps,West,Office Supplies,58.38,7,26.27,0%
CA-2015-124919,31-05-2015,Stephanie Phelps,West,Office Supplies,105.52,4,48.54,0%
CA-2015-124919,31-05-2015,Stephanie Phelps,West,Office Supplies,80.88,6,21.03,0%
CA-2015-118948,28-05-2015,Neil Knudson,West,Office Supplies,6.63,3,1.79,0%
CA-2014-104269,01-03-2014,Dave Brooks,West,Furniture,457.57,2,51.48,20%
CA-2016-114104,20-11-2016,Nora Paige,Central,Office Supplies,14.62,2,6.87,0%
CA-2016-114104,20-11-2016,Nora Paige,Central,Technology,944.93,7,236.23,0%
CA-2016-162733,11-05-2016,Ted Trevino,West,Office Supplies,5.98,1,2.69,0%
CA-2015-119697,28-12-2015,Eric Murdock,East,Technology,54.38,2,1.36,20%
CA-2016-154508,16-11-2016,Ruben Dartt,West,Office Supplies,28.4,5,13.35,0%
CA-2016-113817,07-11-2016,Max Jones,West,Office Supplies,27.68,2,9.69,20%
CA-2014-139892,08-09-2014,Becky Martin,Central,Office Supplies,9.94,3,2.73,20%
CA-2014-139892,08-09-2014,Becky Martin,Central,Technology,8159.95,8,-1359.99,40%
CA-2014-139892,08-09-2014,Becky Martin,Central,Office Supplies,275.93,3,-58.63,20%
CA-2014-139892,08-09-2014,Becky Martin,Central,Furniture,1740.06,9,-24.86,30%
CA-2014-139892,08-09-2014,Becky Martin,Central,Office Supplies,32.06,6,6.81,20%
CA-2014-139892,08-09-2014,Becky Martin,Central,Office Supplies,177.98,5,-453.85,80%
CA-2014-139892,08-09-2014,Becky Martin,Central,Technology,143.98,3,9,20%
CA-2014-118962,05-08-2014,Chad Sievert,West,Office Supplies,20.94,3,9.84,0%
CA-2014-118962,05-08-2014,Chad Sievert,West,Office Supplies,110.96,2,53.26,0%
CA-2014-118962,05-08-2014,Chad Sievert,West,Furniture,340.14,7,21.26,20%
US-2014-100853,14-09-2014,Jennifer Braxton,Central,Office Supplies,52.45,2,-131.12,80%
US-2014-100853,14-09-2014,Jennifer Braxton,Central,Office Supplies,20.16,4,6.55,20%
US-2017-152366,21-04-2017,Shirley Jackson,Central,Office Supplies,97.26,4,-243.16,80%
US-2015-101511,21-11-2015,Joel Eaton,East,Furniture,396.8,7,-11.34,30%
US-2015-101511,21-11-2015,Joel Eaton,East,Office Supplies,15.88,5,-3.77,20%
CA-2015-137225,15-12-2015,Jim Kriz,East,Office Supplies,3.28,1,1.41,0%
CA-2014-166191,05-12-2014,David Kendrick,Central,Office Supplies,24.82,2,1.86,20%
CA-2014-166191,05-12-2014,David Kendrick,Central,Technology,408.74,7,76.64,20%
CA-2014-158274,19-11-2014,Robert Marley,South,Technology,503.96,4,131.03,0%
CA-2014-158274,19-11-2014,Robert Marley,South,Technology,149.95,5,41.99,0%
CA-2014-158274,19-11-2014,Robert Marley,South,Technology,29,2,7.25,0%
CA-2016-105018,28-11-2016,Sally Knutson,East,Office Supplies,7.16,2,3.44,0%
CA-2014-123260,26-08-2014,Frank Merwin,West,Technology,176.8,8,22.98,0%
CA-2016-157000,16-07-2016,Alice McCarthy,Central,Office Supplies,37.22,3,3.72,20%
CA-2016-157000,16-07-2016,Alice McCarthy,Central,Office Supplies,20.02,3,6.26,20%
CA-2015-102281,12-10-2015,Mark Packer,East,Furniture,899.14,4,112.39,20%
CA-2015-102281,12-10-2015,Mark Packer,East,Technology,71.76,6,20.09,0%
CA-2015-102281,12-10-2015,Mark Packer,East,Office Supplies,51.84,8,24.88,0%
CA-2015-102281,12-10-2015,Mark Packer,East,Furniture,626.35,3,46.98,20%
CA-2015-102281,12-10-2015,Mark Packer,East,Office Supplies,19.9,5,6.57,0%
CA-2015-131457,31-10-2015,Mary Zewe,West,Office Supplies,14.28,7,6.71,0%
CA-2014-140004,21-03-2014,Cassandra Brandow,East,Office Supplies,7.41,2,1.2,20%
CA-2014-140004,21-03-2014,Cassandra Brandow,East,Office Supplies,6.05,3,1.59,20%
CA-2017-107720,06-11-2017,Valerie Mitchum,East,Office Supplies,46.26,3,12.03,0%
US-2017-124303,06-07-2017,Fred Hopkins,East,Office Supplies,2.95,2,-2.26,70%
US-2017-124303,06-07-2017,Fred Hopkins,East,Office Supplies,16.06,3,5.82,20%
CA-2017-105074,24-06-2017,Maria Bertelson,East,Office Supplies,21.74,3,6.8,20%
CA-2014-133690,03-08-2014,Bruce Stewart,West,Furniture,218.75,2,-161.88,50%
CA-2014-133690,03-08-2014,Bruce Stewart,West,Office Supplies,2.6,1,0.29,20%
US-2017-116701,17-12-2017,Logan Currie,Central,Office Supplies,66.28,2,-178.97,80%
CA-2017-126382,03-06-2017,Heather Kirkland,South,Furniture,35.17,7,9.67,20%
CA-2017-108329,09-12-2017,Laurel Elliston,West,Technology,444.77,4,44.48,20%
CA-2017-135860,01-12-2017,Joseph Holt,Central,Office Supplies,83.92,4,5.87,0%
CA-2017-135860,01-12-2017,Joseph Holt,Central,Technology,131.98,2,35.63,0%
CA-2017-135860,01-12-2017,Joseph Holt,Central,Office Supplies,15.92,4,7.48,0%
CA-2017-135860,01-12-2017,Joseph Holt,Central,Office Supplies,52.29,9,16.21,0%
CA-2017-135860,01-12-2017,Joseph Holt,Central,Office Supplies,91.99,1,3.68,0%
CA-2015-101007,09-02-2015,Michael Stewart,Central,Technology,20.8,2,6.5,20%
CA-2015-146262,02-01-2015,Victoria Wilson,East,Office Supplies,23.68,2,8.88,20%
CA-2015-146262,02-01-2015,Victoria Wilson,East,Furniture,452.45,5,-244.32,50%
CA-2015-146262,02-01-2015,Victoria Wilson,East,Technology,62.98,3,-14.7,40%
CA-2015-146262,02-01-2015,Victoria Wilson,East,Technology,1188,9,-950.4,70%
CA-2015-146262,02-01-2015,Victoria Wilson,East,Technology,89.58,2,4.48,20%
CA-2016-130162,28-10-2016,Jonathan Howell,West,Office Supplies,93.06,6,26.06,0%
CA-2016-130162,28-10-2016,Jonathan Howell,West,Technology,302.38,3,22.68,20%
CA-2015-169397,24-12-2015,Joni Blumstein,East,Office Supplies,5.58,2,1.81,20%
CA-2015-169397,24-12-2015,Joni Blumstein,East,Office Supplies,22.7,6,8.23,20%
CA-2015-169397,24-12-2015,Joni Blumstein,East,Office Supplies,19.78,4,-13.84,70%
CA-2015-169397,24-12-2015,Joni Blumstein,East,Furniture,72.7,4,19.08,20%
CA-2015-169397,24-12-2015,Joni Blumstein,East,Technology,479.99,4,-383.99,70%
CA-2015-169397,24-12-2015,Joni Blumstein,East,Office Supplies,27.17,2,2.72,20%
CA-2015-163055,09-08-2015,David Smith,Central,Office Supplies,2.2,1,0.97,0%
CA-2015-163055,09-08-2015,David Smith,Central,Furniture,622.45,5,136.94,0%
CA-2015-163055,09-08-2015,David Smith,Central,Office Supplies,21.98,1,0.22,0%
US-2015-145436,28-02-2015,Valerie Dominguez,South,Furniture,161.57,2,-28.27,20%
US-2015-145436,28-02-2015,Valerie Dominguez,South,Furniture,389.7,8,43.84,20%
US-2014-156216,13-09-2014,Erin Ashbrook,South,Office Supplies,18.65,7,-12.43,70%
US-2017-100930,07-04-2017,Christopher Schild,South,Furniture,233.86,2,-102.05,45%
US-2017-100930,07-04-2017,Christopher Schild,South,Furniture,620.61,3,-248.25,45%
US-2017-100930,07-04-2017,Christopher Schild,South,Office Supplies,5.33,2,-3.55,70%
US-2017-100930,07-04-2017,Christopher Schild,South,Furniture,258.07,3,0,20%
US-2017-100930,07-04-2017,Christopher Schild,South,Technology,617.98,3,-7.72,20%
CA-2017-160514,12-11-2017,David Bremer,West,Office Supplies,10.56,2,4.75,0%
CA-2016-157749,04-06-2016,Ken Lonsdale,Central,Office Supplies,25.92,5,9.4,20%
CA-2016-157749,04-06-2016,Ken Lonsdale,Central,Furniture,419.68,5,-356.73,60%
CA-2016-157749,04-06-2016,Ken Lonsdale,Central,Furniture,11.69,3,-4.68,60%
CA-2016-157749,04-06-2016,Ken Lonsdale,Central,Technology,31.98,2,11.19,20%
CA-2016-157749,04-06-2016,Ken Lonsdale,Central,Furniture,177.23,5,-120.51,50%
CA-2016-157749,04-06-2016,Ken Lonsdale,Central,Furniture,4.04,3,-2.83,60%
CA-2016-157749,04-06-2016,Ken Lonsdale,Central,Office Supplies,7.41,2,1.2,20%
CA-2014-131926,01-06-2014,Dianna Wilson,Central,Furniture,2001.86,7,580.54,0%
CA-2014-131926,01-06-2014,Dianna Wilson,Central,Office Supplies,166.72,2,41.68,0%
CA-2014-131926,01-06-2014,Dianna Wilson,Central,Office Supplies,47.88,6,23.94,0%
CA-2014-131926,01-06-2014,Dianna Wilson,Central,Office Supplies,1503.25,5,496.07,0%
CA-2014-131926,01-06-2014,Dianna Wilson,Central,Office Supplies,25.92,4,12.44,0%
CA-2016-154739,10-12-2016,Logan Haushalter,West,Furniture,321.57,2,28.14,20%
CA-2016-145625,11-09-2016,Kelly Collister,West,Office Supplies,7.61,1,3.58,0%
CA-2016-145625,11-09-2016,Kelly Collister,West,Technology,3347.37,13,636,0%
CA-2016-146941,10-12-2016,Delfina Latchford,East,Office Supplies,80.58,6,22.56,0%
CA-2016-146941,10-12-2016,Delfina Latchford,East,Office Supplies,361.92,4,162.86,0%
US-2015-159982,28-11-2015,Dan Reichenbach,Central,Furniture,12.13,9,-8.49,60%
US-2015-159982,28-11-2015,Dan Reichenbach,Central,Office Supplies,82.37,2,-19.56,20%
US-2015-159982,28-11-2015,Dan Reichenbach,Central,Office Supplies,53.92,5,4.04,20%
US-2015-159982,28-11-2015,Dan Reichenbach,Central,Technology,647.9,6,56.69,20%
CA-2017-163139,01-12-2017,Craig Carreira,East,Technology,20.37,3,6.93,0%
CA-2017-163139,01-12-2017,Craig Carreira,East,Office Supplies,221.55,3,6.65,0%
CA-2017-163139,01-12-2017,Craig Carreira,East,Office Supplies,17.52,5,6.13,20%
US-2017-155299,08-06-2017,Dorris liebe,Central,Office Supplies,1.62,2,-4.47,80%
US-2014-106992,19-09-2014,Sean Braxton,Central,Technology,3059.98,3,-510,40%
US-2014-106992,19-09-2014,Sean Braxton,Central,Technology,2519.96,7,-252,40%
CA-2016-125318,06-06-2016,Roy Collins,Central,Technology,328.22,4,28.72,20%
CA-2015-155040,10-11-2015,Alan Hwang,West,Technology,79.9,2,35.16,0%
CA-2017-136826,16-06-2017,Claudia Bergmann,South,Office Supplies,14.02,3,4.73,20%
CA-2016-111010,22-01-2016,Paul Gonzalez,East,Office Supplies,7.56,6,0.3,0%
US-2017-145366,09-12-2017,Christine Abelman,East,Office Supplies,37.21,1,-7.44,20%
US-2017-145366,09-12-2017,Christine Abelman,East,Office Supplies,57.58,3,21.59,20%
CA-2017-163979,28-12-2017,Kristen Hastings,West,Office Supplies,725.84,4,210.49,0%
CA-2015-155334,30-07-2015,Helen Andreada,West,Technology,209.93,7,92.37,0%
CA-2015-155334,30-07-2015,Helen Andreada,West,Furniture,5.28,3,2.32,0%
CA-2015-155334,30-07-2015,Helen Andreada,West,Office Supplies,10.92,3,4.1,20%
CA-2017-118136,16-09-2017,Barry Blumstein,West,Office Supplies,8.82,2,4.06,0%
CA-2017-118136,16-09-2017,Barry Blumstein,West,Office Supplies,5.98,1,1.55,0%
CA-2017-132976,13-10-2017,Andrew Gjertsen,East,Office Supplies,11.65,2,4.08,20%
CA-2017-132976,13-10-2017,Andrew Gjertsen,East,Office Supplies,18.18,4,5.91,20%
CA-2017-132976,13-10-2017,Andrew Gjertsen,East,Office Supplies,59.71,6,5.97,20%
CA-2017-132976,13-10-2017,Andrew Gjertsen,East,Office Supplies,24.84,3,8.69,20%
US-2015-161991,26-09-2015,Steven Cartwright,Central,Office Supplies,2.08,5,-3.43,80%
US-2015-161991,26-09-2015,Steven Cartwright,Central,Technology,1114.4,7,376.11,20%
CA-2015-130890,02-11-2015,Jas O'Carroll,West,Furniture,1038.84,5,51.94,20%
CA-2015-130883,26-09-2015,Tracy Blumstein,West,Office Supplies,141.76,5,47.84,20%
CA-2015-130883,26-09-2015,Tracy Blumstein,West,Technology,239.8,5,47.96,20%
CA-2015-130883,26-09-2015,Tracy Blumstein,West,Office Supplies,31.1,6,10.89,20%
CA-2016-112697,18-12-2016,Alan Haines,South,Office Supplies,254.06,7,-169.37,70%
CA-2016-112697,18-12-2016,Alan Haines,South,Office Supplies,194.53,2,24.32,20%
CA-2016-112697,18-12-2016,Alan Haines,South,Office Supplies,961.48,5,-204.31,20%
CA-2016-110772,20-11-2016,Nick Zandusky,East,Office Supplies,19.1,7,6.68,20%
CA-2016-110772,20-11-2016,Nick Zandusky,East,Office Supplies,18.5,8,6.24,20%
CA-2016-110772,20-11-2016,Nick Zandusky,East,Technology,255.98,2,54.4,20%
CA-2016-110772,20-11-2016,Nick Zandusky,East,Furniture,86.97,3,-48.7,50%
CA-2014-111451,26-12-2014,Kelly Lampkin,West,Furniture,300.42,8,78.86,20%
CA-2014-111451,26-12-2014,Kelly Lampkin,West,Furniture,230.35,3,20.16,20%
CA-2014-111451,26-12-2014,Kelly Lampkin,West,Furniture,218.35,3,-24.56,20%
CA-2014-111451,26-12-2014,Kelly Lampkin,West,Office Supplies,78.6,5,-62.88,70%
CA-2014-111451,26-12-2014,Kelly Lampkin,West,Office Supplies,27.55,3,9.3,20%
CA-2016-142545,28-10-2016,Jonathan Doherty,East,Office Supplies,32.4,5,15.55,0%
CA-2016-142545,28-10-2016,Jonathan Doherty,East,Office Supplies,1082.48,8,10.82,0%
CA-2016-142545,28-10-2016,Jonathan Doherty,East,Office Supplies,56.91,3,27.32,0%
CA-2016-142545,28-10-2016,Jonathan Doherty,East,Furniture,77.6,4,38.02,0%
